,resnet50-0,resnet50-1,resnet50-2,resnet50-3
289,1,0,1,0
290,1,0,0,1
291,1,0,0,0
292,0,0,0,0
293,1,0,1,1
294,1,1,0,0
295,1,1,1,1
296,1,1,0,1
297,0,0,1,0
298,1,0,0,0
299,0,1,1,1
300,0,1,1,1
301,1,0,1,1
302,0,0,0,1
303,0,1,0,1
304,1,1,0,1
305,0,1,1,0
306,1,1,1,1
307,1,1,1,0
308,0,0,0,1
309,1,0,0,0
310,1,1,0,0
311,1,0,0,1
312,1,0,0,0
313,1,1,0,1
314,0,0,1,0
315,0,0,1,0
316,1,1,0,0
317,0,0,0,1
318,0,1,1,0
319,1,0,1,1
320,1,1,0,0
321,0,1,0,0
322,1,1,1,1
323,0,1,0,0
324,1,0,1,1
325,1,0,0,1
326,1,0,1,1
327,0,1,0,0
328,1,0,0,0
329,1,1,0,0
330,1,1,0,0
331,1,0,1,0
332,1,0,1,1
333,0,0,1,1
334,0,0,0,0
335,0,1,0,1
336,0,1,0,1
337,0,0,0,1
338,0,0,1,1
339,0,0,0,0
340,1,0,1,0
341,0,1,0,0
342,0,1,0,0
343,1,1,0,1
344,0,0,1,0
345,0,1,1,1
346,0,1,0,1
347,1,1,0,0
348,0,1,0,1
349,0,1,0,0
350,0,1,0,0
351,1,1,0,1
352,1,0,1,0
353,1,0,1,0
354,1,1,0,1
355,1,1,0,1
356,1,0,1,1
357,1,1,1,0
358,0,1,1,0
359,0,1,1,0
360,1,0,1,1
361,0,0,0,0
362,1,1,1,0
363,1,1,0,1
364,1,1,0,0
365,1,0,0,0
366,0,1,0,0
367,1,1,1,1
368,1,1,1,0
369,1,0,1,0
370,1,0,0,0
371,0,1,0,0
372,1,1,0,1
373,0,1,0,0
374,0,0,1,0
375,1,0,0,1
376,0,0,1,1
377,0,0,1,0
378,0,1,1,1
379,0,0,0,0
380,0,0,0,1
381,1,1,1,1
382,1,1,0,0
383,0,1,1,0
384,0,0,1,0
385,1,1,1,1
386,1,1,0,1
387,0,1,1,1
388,0,0,0,0
389,1,0,0,1
390,0,1,1,1
391,1,1,0,0
392,0,0,1,1
393,1,0,0,1
394,1,1,0,0
395,1,0,0,1
396,1,1,0,0
397,1,1,1,0
398,1,1,0,1
399,0,1,1,1
400,0,1,1,1
401,0,0,0,1
402,0,1,0,1
403,0,1,0,0
404,1,1,1,0
405,0,1,1,0
406,1,0,1,0
407,0,0,0,1
408,1,1,1,0
409,0,0,1,1
410,1,1,0,0
411,0,0,0,1
412,1,1,0,0
413,0,1,1,0
414,0,1,0,1
415,1,0,0,0
416,1,0,1,1
417,0,1,1,0
418,1,0,0,0
419,1,1,1,1
420,0,1,0,1
421,0,1,1,0
422,1,1,0,0
423,1,1,0,1
424,0,0,0,0
425,0,0,0,1
426,0,1,1,0
427,1,0,0,1
428,1,1,1,1
429,0,1,1,1
430,1,0,0,0
431,0,1,1,0
432,1,0,0,1
433,0,1,1,1
434,0,1,1,0
435,0,1,1,1
436,0,0,0,1
437,1,1,1,1
438,1,0,1,1
439,0,0,0,0
440,0,1,1,1
441,0,0,0,1
442,1,0,0,1
443,1,0,1,1
444,1,0,1,0
445,1,1,1,0
446,0,1,1,1
447,0,1,0,1
448,1,0,1,1
449,0,1,1,1
450,0,0,0,0
451,1,0,0,0
452,1,0,1,1
453,1,0,0,1
454,1,0,0,1
455,0,1,1,0
456,1,1,1,1
457,0,1,0,0
458,0,0,1,1
459,0,0,0,1
460,1,0,0,1
461,1,1,0,0
462,1,0,0,1
463,0,0,0,1
464,1,1,1,1
465,0,1,1,1
466,1,1,0,1
467,1,1,1,0
468,0,1,1,0
469,0,1,1,0
470,1,1,1,1
471,0,0,1,1
472,1,1,1,0
473,0,0,1,1
474,0,1,1,0
475,1,0,0,1
476,1,0,0,0
477,1,0,0,1
478,0,1,1,1
479,1,0,0,0
480,1,0,1,0
481,0,1,1,1
482,1,1,0,1
483,0,1,1,1
484,0,1,0,1
485,0,0,0,1
486,1,0,0,1
487,1,0,1,1
488,1,1,0,1
489,0,1,0,0
490,0,1,0,1
491,0,0,1,0
492,1,1,1,1
493,0,1,1,1
494,0,1,0,0
495,1,1,1,0
496,1,1,0,0
497,0,0,0,1
498,1,0,0,0
499,1,1,0,0
500,1,0,0,0
501,1,0,1,1
502,0,1,1,1
503,1,0,0,0
504,0,1,0,0
505,1,1,0,1
506,1,0,0,0
507,0,1,1,1
508,1,1,1,0
509,0,1,0,0
510,0,1,1,0
511,1,1,0,1
512,1,0,1,1
513,0,0,0,1
514,0,1,1,0
515,0,0,1,0
516,1,1,0,0
517,0,1,0,0
518,0,0,1,1
519,1,0,0,0
520,1,1,0,1
521,0,1,1,1
522,0,1,0,0
523,1,1,0,0
524,1,0,0,1
525,1,1,0,1
526,0,1,1,1
527,1,0,1,0
528,1,1,0,0
529,1,1,0,1
530,1,0,1,1
531,1,1,0,0
532,1,0,1,1
533,0,0,0,1
534,0,0,1,1
535,0,1,0,0
536,1,0,1,1
537,0,1,1,1
538,0,1,0,0
539,0,0,0,0
540,0,1,0,1
541,1,0,1,0
542,0,0,0,1
543,0,1,1,1
544,1,1,1,1
545,1,1,1,0
546,1,0,1,0
547,0,1,0,0
548,0,0,1,0
549,0,0,1,0
550,0,0,1,0
551,1,1,0,0
552,1,1,0,0
553,1,0,1,1
554,0,0,0,1
555,0,0,0,1
556,0,0,1,1
557,0,1,0,1
558,0,0,0,1
559,0,1,1,0
560,0,1,0,0
561,1,0,0,1
562,0,1,1,0
563,1,1,1,1
564,0,0,1,0
565,0,0,0,1
566,1,0,0,0
567,1,0,0,0
568,1,1,1,0
569,0,0,1,0
570,0,1,1,0
571,0,0,0,1
572,1,1,0,0
573,0,0,0,1
574,1,0,0,0
575,0,1,1,1
576,1,0,0,1
577,1,0,1,0
578,0,0,0,1
579,1,0,0,0
580,1,0,0,1
581,1,1,0,1
582,1,1,0,0
583,1,0,1,0
584,1,0,1,1
585,1,0,0,0
586,0,0,0,1
587,1,1,1,1
588,1,1,1,1
589,1,0,1,1
590,1,1,0,1
591,1,1,1,1
592,0,0,0,1
593,1,0,0,1
594,1,0,0,0
595,1,1,0,0
596,0,0,0,1
597,0,0,0,0
598,0,1,0,0
599,1,0,0,1
600,1,0,0,0
601,1,0,1,1
602,1,0,0,0
603,0,0,1,1
604,1,0,0,1
605,0,1,1,0
606,1,1,0,1
607,1,0,1,0
608,0,0,1,1
609,1,1,0,0
610,0,0,0,0
611,0,1,1,1
612,1,1,1,1
613,1,1,1,1
614,1,0,1,0
615,1,1,1,1
616,0,1,0,1
617,1,0,1,1
618,0,0,0,1
619,1,1,1,1
620,0,1,1,1
621,1,1,0,1
622,0,1,0,1
623,1,1,1,0
624,0,0,1,0
625,1,1,0,1
626,0,0,1,1
627,1,0,0,0
628,0,0,0,1
629,0,0,1,0
630,0,1,1,1
631,1,0,0,0
632,1,1,0,1
633,0,0,0,0
634,1,0,1,0
635,1,1,0,0
636,0,1,1,0
637,0,1,0,0
638,0,1,1,0
639,0,0,1,1
640,1,0,1,1
641,0,1,0,0
642,0,1,1,1
643,1,1,0,1
644,1,1,0,1
645,1,1,0,1
646,0,0,1,0
647,1,1,0,0
648,0,1,0,1
649,0,1,1,1
650,0,1,0,0
651,1,1,0,1
652,1,1,1,1
653,1,0,0,0
654,0,1,1,0
655,0,0,0,0
656,0,0,0,0
657,1,1,1,1
658,0,1,0,0
659,1,0,0,0
660,1,0,0,1
661,0,1,1,1
662,1,1,0,0
663,1,0,0,0
664,1,0,1,1
665,0,1,1,1
666,1,1,1,0
667,0,1,0,1
668,1,1,1,1
669,1,1,0,1
670,0,1,1,0
671,1,1,0,0
672,1,1,1,0
673,1,1,1,1
674,0,1,1,1
675,1,0,1,0
676,1,0,0,1
677,0,1,1,1
678,1,1,1,1
679,1,0,1,0
680,0,1,1,1
681,1,0,1,0
682,0,1,0,0
683,1,0,1,1
684,1,0,1,1
685,0,0,1,0
686,1,0,0,1
687,0,1,0,0
688,1,1,1,0
689,0,1,1,0
690,1,1,1,1
691,0,0,1,0
692,0,1,0,0
693,0,1,1,1
694,0,1,0,0
695,1,1,0,0
696,0,1,1,1
697,1,0,1,1
698,0,0,0,0
699,1,0,0,1
700,0,0,1,1
701,0,1,0,1
702,0,1,1,1
703,0,1,1,0
704,1,0,0,1
705,0,0,1,1
706,1,1,0,0
707,1,0,0,1
708,1,0,0,0
709,0,1,0,0
710,1,0,0,1
711,0,1,1,1
712,0,1,0,0
713,1,1,0,0
714,1,0,0,1
715,1,0,0,0
716,0,0,0,1
717,1,1,1,1
718,0,0,0,1
719,0,1,1,1
720,0,1,1,1
721,0,0,1,1
722,1,1,0,0
723,1,0,1,0
724,1,1,0,0
725,0,0,1,1
726,0,0,0,0
727,1,1,1,0
728,0,1,1,1
729,1,1,1,0
730,1,0,1,1
731,0,0,0,1
732,0,0,1,1
733,0,1,0,0
734,1,0,1,0
735,1,0,0,0
736,0,0,1,1
737,0,1,1,1
738,0,1,0,1
739,0,0,1,0
740,0,0,1,0
741,1,0,1,1
742,0,1,1,1
743,1,1,0,0
744,0,0,1,0
745,0,1,1,1
746,1,1,0,0
747,0,1,0,1
748,0,1,0,0
749,1,0,0,0
750,1,0,1,0
751,0,1,0,1
752,0,0,1,0
753,1,0,1,1
754,1,1,0,1
755,0,0,0,0
756,1,1,1,1
757,0,1,0,0
758,0,1,1,0
759,1,1,0,0
760,0,1,0,0
761,1,1,0,1
762,0,0,0,0
763,1,0,0,0
764,1,1,1,1
765,0,1,0,0
766,1,0,0,1
767,0,0,1,1
768,1,1,1,1
769,1,1,1,1
770,1,1,0,1
771,1,1,0,0
772,1,0,0,1
773,0,0,0,1
774,0,0,0,1
775,0,1,1,0
776,1,0,1,1
777,1,0,0,0
778,1,1,0,1
779,0,1,0,1
780,0,1,0,1
781,1,1,0,1
782,0,0,0,1
783,0,0,1,1
784,0,1,1,0
785,0,0,0,0
786,0,0,0,1
787,0,0,0,1
788,0,0,1,1
789,1,1,1,0
790,0,1,0,0
791,1,1,1,0
792,1,0,1,0
793,0,0,0,0
794,1,1,0,0
795,0,1,1,1
796,0,1,0,0
797,0,1,1,1
798,0,0,1,1
799,0,1,1,1
800,0,0,0,1
801,1,1,1,1
802,0,1,0,1
803,0,0,0,1
804,0,1,1,1
805,1,0,0,0
806,1,0,1,1
807,1,1,0,1
808,0,1,0,0
809,1,0,1,0
810,0,1,0,1
811,1,0,0,1
812,1,0,1,1
813,0,0,0,0
814,0,0,1,0
815,1,1,0,1
816,0,1,1,1
817,0,0,1,1
818,1,1,0,1
819,0,0,1,1
820,1,0,0,0
821,0,1,0,0
822,0,0,0,0
823,1,1,0,1
824,1,0,1,0
825,1,1,1,0
826,1,1,0,1
827,0,1,0,0
828,1,1,1,0
829,1,1,1,0
830,0,1,0,0
831,1,1,1,1
832,1,0,1,0
833,1,1,0,1
834,1,0,0,1
835,1,1,1,1
836,0,1,1,1
837,0,0,0,1
838,0,1,1,1
839,0,0,1,0
840,1,1,0,1
841,0,1,0,0
842,1,1,0,0
843,0,0,1,1
844,0,1,1,1
845,1,0,1,0
846,1,0,1,1
847,1,1,0,0
848,1,0,0,1
849,1,1,1,1
850,0,1,1,0
851,1,0,1,0
852,0,0,1,0
853,0,0,0,1
854,0,0,0,0
855,1,0,0,1
856,1,1,1,0
857,0,0,0,0
858,0,0,1,1
859,0,1,1,1
860,1,1,1,0
861,1,1,1,0
862,1,0,0,0
863,1,0,1,1
864,0,0,0,0
865,0,0,1,0
866,1,0,0,0
867,1,0,1,0
868,0,0,0,1
869,0,0,1,0
870,0,1,0,1
871,0,0,0,1
872,1,0,1,0
873,1,0,0,1
874,1,0,0,1
875,0,0,1,0
876,0,1,1,0
877,1,1,1,1
878,1,0,0,0
879,1,0,0,0
880,1,0,0,0
881,1,1,1,0
882,0,0,1,0
883,1,0,1,1
884,1,1,1,0
885,1,1,1,1
886,1,0,1,0
887,0,1,0,1
888,1,0,0,0
889,0,0,0,1
890,1,1,1,0
891,1,1,0,0
892,1,0,0,0
893,0,1,0,1
894,0,0,1,0
895,0,1,1,0
896,0,1,1,1
897,1,0,0,0
898,1,1,0,1
899,1,1,1,1
900,1,1,1,1
901,1,0,0,0
902,1,0,1,1
903,1,1,0,1
904,1,1,1,1
905,1,0,0,0
906,0,1,0,0
907,0,1,0,1
908,0,0,1,1
909,1,0,0,1
910,0,1,1,0
911,0,0,0,1
912,0,1,1,1
913,0,1,0,0
914,1,1,0,1
915,1,0,1,0
916,0,1,1,0
917,1,1,0,1
918,0,1,1,0
919,0,1,1,1
920,1,1,0,1
921,0,1,0,1
922,0,0,1,0
923,0,1,0,1
924,0,1,1,1
925,1,0,0,0
926,1,1,1,0
927,0,0,0,1
928,0,0,1,1
929,0,0,0,0
930,1,0,0,0
931,0,1,0,0
932,0,0,0,0
933,0,1,0,0
934,1,1,0,1
935,1,1,1,0
936,1,0,0,1
937,1,1,1,1
938,0,1,0,0
939,1,1,1,1
940,1,0,1,0
941,0,0,0,1
942,1,0,0,0
943,0,1,1,0
944,0,0,0,0
945,0,1,1,1
946,1,1,1,1
947,1,0,0,1
948,0,1,0,0
949,0,0,1,0
950,1,1,1,0
951,0,1,0,1
952,0,1,1,0
953,1,1,1,0
954,1,0,1,1
955,1,0,1,0
956,1,1,1,0
957,0,1,0,0
958,1,0,0,1
959,1,1,0,0
960,1,0,1,1
961,0,1,0,0
962,1,1,0,0
963,0,0,0,0
964,0,1,1,1
965,1,0,0,1
966,1,1,1,1
967,1,0,0,1
968,1,1,0,1
969,0,0,1,0
970,1,1,1,1
971,1,0,0,0
972,0,1,0,1
973,1,1,1,0
974,0,0,0,0
975,0,1,0,1
976,0,1,0,0
977,1,1,0,0
978,1,0,0,1
979,0,1,1,1
980,1,0,0,1
981,1,0,1,0
982,0,0,1,1
983,0,1,0,0
984,0,0,1,1
985,1,1,0,1
986,0,1,1,1
987,1,0,0,0
988,0,1,1,1
989,0,0,1,1
990,0,1,0,0
991,1,0,0,1
992,1,0,1,1
993,0,0,1,1
994,1,1,0,0
995,0,1,0,1
996,0,0,1,1
997,1,0,0,1
998,1,0,1,0
999,0,0,0,0
1000,1,0,1,1
1001,1,1,0,1
1002,0,0,0,1
1003,1,0,1,1
1004,0,1,0,1
1005,0,1,1,1
1006,1,0,0,0
1007,0,1,1,1
1008,1,0,0,1
1009,0,1,0,0
1010,1,0,1,1
1011,1,1,0,1
1012,0,1,0,1
1013,1,0,1,1
1014,0,1,1,0
1015,0,1,1,0
1016,1,1,1,1
1017,1,0,0,0
1018,0,1,0,0
1019,0,1,1,0
1020,1,0,0,1
1021,1,0,0,1
1022,0,1,1,0
1023,0,0,0,0
1024,0,0,1,1
1025,0,0,0,0
1026,1,0,1,1
1027,0,0,0,0
1028,1,0,1,1
1029,1,0,0,0
1030,0,0,1,0
1031,0,1,0,1
1032,1,0,0,0
1033,1,0,1,1
1034,1,1,1,1
1035,1,1,0,1
1036,0,1,1,1
1037,1,0,1,1
1038,0,0,0,1
1039,0,0,0,1
1040,0,0,0,1
1041,1,0,1,0
1042,1,1,0,0
1043,1,1,1,1
1044,1,0,0,0
1045,1,0,0,0
1046,0,0,1,1
1047,1,1,1,1
1048,0,1,1,1
1049,1,1,1,1
1050,1,1,1,1
1051,1,1,0,1
1052,1,1,0,1
1053,0,1,1,1
1054,0,1,0,0
1055,0,1,0,1
1056,1,0,0,0
1057,1,0,0,1
1058,1,0,0,0
1059,1,0,1,1
1060,0,0,0,0
1061,0,0,1,1
1062,1,1,1,0
1063,1,1,1,1
1064,0,0,0,0
1065,0,1,0,0
1066,1,0,1,0
1067,0,1,1,0
1068,1,0,0,1
1069,0,1,0,1
1070,0,0,1,1
1071,0,1,1,0
1072,0,0,1,0
1073,1,1,1,0
1074,0,1,1,0
1075,1,0,1,0
1076,0,0,0,1
1077,1,1,1,1
1078,1,0,1,1
1079,1,1,0,1
1080,1,0,0,0
1081,0,0,1,0
1082,1,1,1,0
1083,1,1,1,0
1084,0,1,1,0
1085,0,1,1,0
1086,1,0,0,1
1087,0,1,0,1
1088,0,0,0,0
1089,1,1,1,1
1090,1,1,0,1
1091,0,0,1,0
1092,1,0,0,1
1093,0,0,1,1
1094,0,1,0,1
1095,1,0,0,1
1096,1,0,1,0
1097,0,0,1,0
1098,0,0,1,0
1099,1,1,1,0
1100,0,1,1,0
1101,0,0,0,0
1102,1,1,1,0
1103,1,1,0,0
1104,1,0,1,0
1105,1,0,0,1
1106,0,0,0,0
1107,0,0,0,0
1108,0,1,0,0
1109,0,0,1,0
1110,0,1,0,0
1111,1,0,1,0
1112,1,1,0,1
1113,0,1,1,1
1114,1,1,1,0
1115,0,1,1,1
1116,1,0,0,0
1117,1,1,1,1
1118,0,1,0,1
1119,0,1,1,0
1120,0,0,0,0
1121,1,0,1,0
1122,0,1,0,0
1123,1,0,1,0
1124,1,1,1,1
1125,1,0,1,0
1126,1,1,0,1
1127,0,0,0,0
1128,0,1,1,0
1129,0,1,1,0
1130,0,0,1,0
1131,0,0,0,0
1132,0,1,1,1
1133,0,0,0,0
1134,0,0,1,0
1135,1,1,0,0
1136,1,1,1,0
1137,1,0,1,0
1138,1,0,1,1
1139,0,1,1,0
1140,1,1,1,1
1141,0,0,0,1
1142,1,0,0,0
1143,0,1,0,1
1144,1,1,1,0
1145,1,0,0,1
1146,0,0,1,1
1147,0,0,0,1
1148,0,1,1,1
1149,1,0,1,0
1150,0,0,1,1
1151,0,1,0,1
1152,1,0,1,0
1153,1,0,0,1
1154,1,1,1,1
1155,1,1,0,1
1156,0,0,1,0
1157,0,0,1,0
1158,1,0,0,1
1159,1,1,0,1
1160,0,1,1,0
1161,1,1,0,1
1162,1,0,0,0
1163,0,1,0,0
1164,1,0,1,1
1165,0,0,1,1
1166,0,0,1,1
1167,1,0,1,1
1168,0,1,0,0
1169,0,1,1,1
1170,1,0,1,1
1171,1,0,0,0
1172,0,0,1,0
1173,1,1,0,0
1174,0,1,0,1
1175,0,1,0,1
1176,1,0,1,1
1177,1,0,0,1
1178,0,1,0,0
1179,1,1,0,0
1180,1,1,1,1
1181,1,0,0,0
1182,0,1,0,0
1183,1,0,0,1
1184,0,1,0,0
1185,1,0,0,1
1186,1,1,1,0
1187,0,1,1,1
1188,0,0,0,1
1189,0,1,1,0
1190,1,1,1,1
1191,0,0,1,1
1192,1,1,1,1
1193,0,1,0,0
1194,1,0,0,1
1195,1,0,0,1
1196,0,0,1,1
1197,1,1,0,0
1198,0,1,1,0
1199,0,0,1,1
1200,1,1,1,1
1201,1,1,1,0
1202,0,0,1,0
1203,0,1,0,1
1204,0,1,0,0
1205,1,0,0,1
1206,0,0,1,0
1207,0,1,0,1
1208,0,0,1,1
1209,0,1,0,1
1210,1,1,1,1
1211,1,0,1,1
1212,0,1,0,1
1213,1,0,1,0
1214,0,0,0,0
1215,1,1,0,0
1216,1,0,0,1
1217,1,0,1,0
1218,1,1,0,1
1219,0,1,0,0
1220,0,1,0,0
1221,0,1,0,1
1222,0,1,1,0
1223,1,1,1,1
1224,0,0,1,1
1225,1,1,1,1
1226,1,1,0,0
1227,0,0,1,1
1228,1,1,0,1
1229,0,0,0,0
1230,0,0,0,1
1231,1,0,1,0
1232,1,0,1,1
1233,1,1,1,1
1234,0,0,1,1
1235,1,0,1,0
1236,1,0,0,0
1237,1,1,0,0
1238,1,1,0,1
1239,1,0,1,0
1240,1,1,0,1
1241,1,0,1,1
1242,0,0,0,1
1243,0,1,0,0
1244,0,0,0,0
1245,1,0,1,1
1246,1,1,0,1
1247,1,1,1,1
1248,0,1,0,1
1249,0,1,0,0
1250,0,0,1,1
1251,1,0,1,1
1252,0,0,0,1
1253,1,1,0,0
1254,1,0,0,1
1255,1,0,0,1
1256,0,1,1,1
1257,0,0,0,0
1258,0,1,0,0
1259,1,1,0,1
1260,0,0,0,1
1261,0,1,0,1
1262,1,0,1,1
1263,1,0,1,1
1264,1,1,0,1
1265,1,0,1,1
1266,0,1,0,0
1267,0,1,0,1
1268,1,1,0,0
1269,0,1,1,1
1270,0,0,0,1
1271,1,0,1,0
1272,1,0,1,1
1273,1,1,1,0
1274,0,0,1,0
1275,1,1,0,0
1276,1,1,0,0
1277,1,1,1,0
1278,0,0,0,0
1279,1,1,1,1
1280,0,0,1,0
1281,0,0,1,0
1282,0,1,0,0
1283,0,1,1,0
1284,0,1,0,1
1285,0,1,1,0
1286,1,0,1,0
1287,1,0,0,1
1288,1,1,1,1
1289,1,0,0,0
1290,1,1,1,0
1291,1,0,1,1
1292,1,1,0,0
1293,0,0,0,1
1294,0,0,1,0
1295,0,0,1,1
1296,0,0,1,0
1297,1,1,1,0
1298,1,0,1,0
1299,0,1,1,1
1300,1,0,0,0
1301,1,0,0,1
1302,1,1,0,1
1303,0,1,0,1
1304,1,0,1,1
1305,1,0,0,1
1306,1,0,1,0
1307,1,1,1,1
1308,0,0,0,1
1309,0,1,0,0
1310,0,1,1,0
1311,1,1,0,0
1312,0,1,1,1
1313,0,1,0,1
1314,1,0,0,0
1315,1,1,1,1
1316,0,0,0,1
1317,1,1,0,1
1318,0,0,0,0
1319,0,1,0,0
1320,0,0,0,1
1321,0,0,1,1
1322,1,1,1,1
1323,0,0,0,0
1324,0,0,1,1
1325,1,1,1,0
1326,1,1,1,0
1327,0,1,1,1
1328,0,1,1,0
1329,1,0,0,1
1330,0,0,1,0
1331,0,0,1,0
1332,1,1,1,1
1333,1,1,0,1
1334,0,0,1,1
1335,0,1,0,1
1336,0,0,0,1
1337,1,0,0,1
1338,1,0,0,0
1339,1,1,1,0
1340,0,1,0,1
1341,1,1,0,1
1342,0,0,0,0
1343,1,1,1,1
1344,0,0,0,0
1345,0,0,0,0
1346,1,0,1,0
1347,0,1,1,0
1348,0,1,1,1
1349,1,1,0,1
1350,1,1,1,1
1351,1,1,1,0
1352,1,1,0,0
1353,0,1,1,0
1354,0,0,0,0
1355,0,0,1,0
1356,1,0,0,1
1357,0,0,0,0
